date,away_team,away_1st_inn,home_team,home_1st_inn
"Thursday, April 1, 2021",Toronto Blue Jays,0,New York Yankees,0
"Thursday, April 1, 2021",Cleveland Indians,0,Detroit Tigers,2
"Thursday, April 1, 2021",Minnesota Twins,0,Milwaukee Brewers,0
"Thursday, April 1, 2021",Pittsburgh Pirates,2,Chicago Cubs,1
"Thursday, April 1, 2021",Atlanta Braves,0,Philadelphia Phillies,1
"Thursday, April 1, 2021",St. Louis Cardinals,6,Cincinnati Reds,1
"Thursday, April 1, 2021",Los Angeles Dodgers,0,Colorado Rockies,0
"Thursday, April 1, 2021",Texas Rangers,5,Kansas City Royals,5
"Thursday, April 1, 2021",Tampa Bay Rays,0,Miami Marlins,0
"Thursday, April 1, 2021",Arizona Diamondbacks,1,San Diego Padres,0
"Thursday, April 1, 2021",Chicago White Sox,0,Los Angeles Angels,0
"Thursday, April 1, 2021",Houston Astros,0,Oakland Athletics,0
"Thursday, April 1, 2021",San Francisco Giants,0,Seattle Mariners,0
"Friday, April 2, 2021",Baltimore Orioles,0,Boston Red Sox,0
"Friday, April 2, 2021",Tampa Bay Rays,0,Miami Marlins,0
"Friday, April 2, 2021",Los Angeles Dodgers,2,Colorado Rockies,0
"Friday, April 2, 2021",Chicago White Sox,0,Los Angeles Angels,1
"Friday, April 2, 2021",Houston Astros,0,Oakland Athletics,0
"Friday, April 2, 2021",Arizona Diamondbacks,0,San Diego Padres,0
"Friday, April 2, 2021",San Francisco Giants,0,Seattle Mariners,0
"Saturday, April 3, 2021",Toronto Blue Jays,0,New York Yankees,0
"Saturday, April 3, 2021",Baltimore Orioles,0,Boston Red Sox,0
"Saturday, April 3, 2021",Cleveland Indians,0,Detroit Tigers,2
"Saturday, April 3, 2021",Texas Rangers,2,Kansas City Royals,0
"Saturday, April 3, 2021",Pittsburgh Pirates,1,Chicago Cubs,0
"Saturday, April 3, 2021",Atlanta Braves,0,Philadelphia Phillies,0
"Saturday, April 3, 2021",Houston Astros,1,Oakland Athletics,1
"Saturday, April 3, 2021",St. Louis Cardinals,0,Cincinnati Reds,0
"Saturday, April 3, 2021",Tampa Bay Rays,0,Miami Marlins,1
"Saturday, April 3, 2021",Minnesota Twins,0,Milwaukee Brewers,0
"Saturday, April 3, 2021",Los Angeles Dodgers,0,Colorado Rockies,0
"Saturday, April 3, 2021",Arizona Diamondbacks,0,San Diego Padres,2
"Saturday, April 3, 2021",Chicago White Sox,0,Los Angeles Angels,0
"Saturday, April 3, 2021",San Francisco Giants,0,Seattle Mariners,0
"Sunday, April 4, 2021",Toronto Blue Jays,0,New York Yankees,0
"Sunday, April 4, 2021",Atlanta Braves,0,Philadelphia Phillies,0
"Sunday, April 4, 2021",Baltimore Orioles,3,Boston Red Sox,0
"Sunday, April 4, 2021",St. Louis Cardinals,0,Cincinnati Reds,0
"Sunday, April 4, 2021",Cleveland Indians,1,Detroit Tigers,2
"Sunday, April 4, 2021",Texas Rangers,0,Kansas City Royals,0
"Sunday, April 4, 2021",Minnesota Twins,1,Milwaukee Brewers,0
"Sunday, April 4, 2021",Pittsburgh Pirates,0,Chicago Cubs,2
"Sunday, April 4, 2021",Los Angeles Dodgers,3,Colorado Rockies,0
"Sunday, April 4, 2021",Houston Astros,1,Oakland Athletics,1
"Sunday, April 4, 2021",Arizona Diamondbacks,2,San Diego Padres,0
"Sunday, April 4, 2021",Chicago White Sox,0,Los Angeles Angels,2
"Monday, April 5, 2021",Minnesota Twins,1,Detroit Tigers,0
"Monday, April 5, 2021",Toronto Blue Jays,1,Texas Rangers,0
"Monday, April 5, 2021",Kansas City Royals,0,Cleveland Indians,0
"Monday, April 5, 2021",Baltimore Orioles,0,New York Yankees,0
"Monday, April 5, 2021",Pittsburgh Pirates,2,Cincinnati Reds,0
"Monday, April 5, 2021",St. Louis Cardinals,3,Miami Marlins,0
"Monday, April 5, 2021",New York Mets,0,Philadelphia Phillies,0
"Monday, April 5, 2021",Tampa Bay Rays,0,Boston Red Sox,0
"Monday, April 5, 2021",Milwaukee Brewers,0,Chicago Cubs,0
"Monday, April 5, 2021",Houston Astros,3,Los Angeles Angels,0
"Monday, April 5, 2021",Los Angeles Dodgers,0,Oakland Athletics,0
"Monday, April 5, 2021",San Francisco Giants,0,San Diego Padres,0
"Monday, April 5, 2021",Chicago White Sox,0,Seattle Mariners,0
"Tuesday, April 6, 2021",Minnesota Twins,0,Detroit Tigers,0
"Tuesday, April 6, 2021",Atlanta Braves,2,Washington Nationals,0
"Tuesday, April 6, 2021",Houston Astros,0,Los Angeles Angels,2
"Tuesday, April 6, 2021",Baltimore Orioles,0,New York Yankees,0
"Tuesday, April 6, 2021",Pittsburgh Pirates,0,Cincinnati Reds,1
"Tuesday, April 6, 2021",St. Louis Cardinals,0,Miami Marlins,1
"Tuesday, April 6, 2021",New York Mets,0,Philadelphia Phillies,0
"Tuesday, April 6, 2021",Tampa Bay Rays,0,Boston Red Sox,1
"Tuesday, April 6, 2021",Milwaukee Brewers,3,Chicago Cubs,0
"Tuesday, April 6, 2021",Toronto Blue Jays,1,Texas Rangers,2
"Tuesday, April 6, 2021",Arizona Diamondbacks,0,Colorado Rockies,0
"Tuesday, April 6, 2021",Los Angeles Dodgers,0,Oakland Athletics,1
"Tuesday, April 6, 2021",San Francisco Giants,0,San Diego Padres,0
"Tuesday, April 6, 2021",Chicago White Sox,0,Seattle Mariners,0
"Wednesday, April 7, 2021",Atlanta Braves,0,Washington Nationals,0
"Wednesday, April 7, 2021",Tampa Bay Rays,0,Boston Red Sox,0
"Wednesday, April 7, 2021",Kansas City Royals,0,Cleveland Indians,0
"Wednesday, April 7, 2021",Minnesota Twins,0,Detroit Tigers,0
"Wednesday, April 7, 2021",Toronto Blue Jays,0,Texas Rangers,0
"Wednesday, April 7, 2021",Milwaukee Brewers,0,Chicago Cubs,0
"Wednesday, April 7, 2021",Los Angeles Dodgers,1,Oakland Athletics,0
"Wednesday, April 7, 2021",New York Mets,0,Philadelphia Phillies,4
"Wednesday, April 7, 2021",St. Louis Cardinals,0,Miami Marlins,0
"Wednesday, April 7, 2021",San Francisco Giants,0,San Diego Padres,0
"Wednesday, April 7, 2021",Chicago White Sox,0,Seattle Mariners,0
"Wednesday, April 7, 2021",Baltimore Orioles,0,New York Yankees,0
"Wednesday, April 7, 2021",Arizona Diamondbacks,0,Colorado Rockies,1
"Wednesday, April 7, 2021",Atlanta Braves,1,Washington Nationals,4
"Wednesday, April 7, 2021",Pittsburgh Pirates,0,Cincinnati Reds,5
"Thursday, April 8, 2021",Miami Marlins,0,New York Mets,0
"Thursday, April 8, 2021",Chicago Cubs,1,Pittsburgh Pirates,0
"Thursday, April 8, 2021",Boston Red Sox,2,Baltimore Orioles,2
"Thursday, April 8, 2021",Arizona Diamondbacks,0,Colorado Rockies,3
"Thursday, April 8, 2021",Kansas City Royals,0,Chicago White Sox,3
"Thursday, April 8, 2021",Seattle Mariners,0,Minnesota Twins,0
"Thursday, April 8, 2021",Milwaukee Brewers,0,St. Louis Cardinals,0
"Thursday, April 8, 2021",Los Angeles Angels,1,Toronto Blue Jays,3
"Thursday, April 8, 2021",Oakland Athletics,0,Houston Astros,0
"Friday, April 9, 2021",New York Yankees,0,Tampa Bay Rays,0
"Friday, April 9, 2021",Washington Nationals,0,Los Angeles Dodgers,0
"Friday, April 9, 2021",Colorado Rockies,0,San Francisco Giants,0
"Friday, April 9, 2021",Los Angeles Angels,0,Toronto Blue Jays,0
"Friday, April 9, 2021",Detroit Tigers,0,Cleveland Indians,3
"Friday, April 9, 2021",Philadelphia Phillies,0,Atlanta Braves,0
"Friday, April 9, 2021",San Diego Padres,0,Texas Rangers,0
"Friday, April 9, 2021",Oakland Athletics,0,Houston Astros,0
"Friday, April 9, 2021",Cincinnati Reds,0,Arizona Diamondbacks,0
"Saturday, April 10, 2021",Miami Marlins,0,New York Mets,0
"Saturday, April 10, 2021",New York Yankees,0,Tampa Bay Rays,1
